date,revenue,cogs,gross_profit,gross_margin_pct,day_of_week,is_weekend,month,day_of_year,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec,traffic_source,revenue_ma7,revenue_ma30
2012-07-04,5123547.94,3982991.19,1140556.75,22.26,2,0,7,186,,,,,,,5123547.94,5123547.94
2012-07-05,2751773.45,2150580.23,601193.22,21.85,3,0,7,187,,,,,,,3937660.7,3937660.7
2012-07-06,3054029.42,2517632.84,536396.58,17.56,4,0,7,188,,,,,,,3643116.94,3643116.94
2012-07-07,2667930.94,2108246.62,559684.32,20.98,5,1,7,189,,,,,,,3399320.44,3399320.44
2012-07-08,2360851.9,1808622.79,552229.11,23.39,6,1,7,190,,,,,,,3191626.73,3191626.73
2012-07-09,3548386.46,2787841.68,760544.78,21.43,0,0,7,191,,,,,,,3251086.68,3251086.68
2012-07-10,5234938.62,4044438.84,1190499.78,22.74,1,0,7,192,,,,,,,3534494.1,3534494.1
2012-07-11,5582884.78,4338313.07,1244571.71,22.29,2,0,7,193,,,,,,,3600113.65,3790542.94
2012-07-12,5734632.02,4458811.27,1275820.75,22.25,3,0,7,194,,,,,,,4026236.31,4006552.84
2012-07-13,5309511.71,4143402.78,1166108.93,21.96,4,0,7,195,,,,,,,4348448.06,4136848.72
2012-07-14,3820831.41,3075464.87,745366.54,19.51,5,1,7,196,,,,,,,4513148.13,4108119.88
2012-07-15,3948841.28,3154482.05,794359.23,20.12,6,1,7,197,,,,,,,4740003.75,4094846.66
2012-07-16,3503801.49,2708219.59,795581.9,22.71,0,0,7,198,,,,,,,4733634.47,4049381.65
2012-07-17,4476729.49,3463061.65,1013667.84,22.64,1,0,7,199,,,,,,,4625318.88,4079906.49
2012-07-18,5184141.46,4072012.16,1112129.3,21.45,2,0,7,200,,,,,,,4568355.55,4153522.16
2012-07-19,6421487.11,5007270.91,1414216.2,22.02,3,0,7,201,,,,,,,4666477.71,4295269.97
2012-07-20,5171470.46,4213989.64,957480.82,18.51,4,0,7,202,,,,,,,4646757.53,4346811.17
2012-07-21,3442157.02,2746075.45,696081.57,20.22,5,1,7,203,,,,,,,4592661.19,4296552.61
2012-07-22,3117550.57,2531656.38,585894.19,18.79,6,1,7,204,,,,,,,4473905.37,4234499.87
2012-07-23,4730517.69,3685006.66,1045511.03,22.1,0,0,7,205,,,,,,,4649150.54,4259300.76
2012-07-24,4096496.12,3248450.65,848045.47,20.7,1,0,7,206,,,,,,,4594831.49,4251548.16
2012-07-25,5246688.08,4140019.37,1106668.71,21.09,2,0,7,207,,,,,,,4603766.72,4296781.79
2012-07-26,5851965.06,4579171.74,1272793.32,21.75,3,0,7,208,,,,,,,4522406.43,4364398.46
2012-07-27,5156699.45,3989402.2,1167297.25,22.64,4,0,7,209,,,,,,,4520296.28,4397411.0
2012-07-28,4326956.84,3403662.59,923294.25,21.34,5,1,7,210,,,,,,,4646696.26,4394592.83
2012-07-29,4804199.65,3819645.91,984553.74,20.49,6,1,7,211,,,,,,,4887646.13,4410346.94
2012-07-30,6586130.95,5195109.56,1391021.39,21.12,0,0,7,212,,,,,,,5152733.74,4490931.53
2012-07-31,9151622.14,7142891.18,2008730.96,21.95,1,0,7,213,,,,,,,5874894.6,4657384.77
2012-08-01,9148357.3,7308514.33,1839842.97,20.11,2,0,8,214,,,,,,,6432275.91,4812245.89
2012-08-02,9692427.0,7537501.15,2154925.85,22.23,3,0,8,215,,,,,,,6980913.33,4974918.59
2012-08-03,9297269.95,7118808.46,2178461.49,23.43,4,0,8,216,,,,,,,7572423.4,5114042.66
2012-08-04,6384195.03,5087528.11,1296666.92,20.31,5,1,8,217,,,,,,,7866314.57,5235123.38
2012-08-05,2359224.19,1863413.11,495811.08,21.02,6,1,8,218,,,,,,,7517032.37,5211963.21
2012-08-06,3630003.7,2922718.71,707284.99,19.48,0,0,8,219,,,,,,,7094728.47,5244032.3
2012-08-07,2240253.44,1781265.84,458987.6,20.49,1,0,8,220,,,,,,,6107390.09,5240012.35
2012-08-08,2617553.36,1997006.42,620546.94,23.71,2,0,8,221,,,,,,,5174418.1,5208984.58
2012-08-09,4478691.52,3621672.71,857018.81,19.14,3,0,8,222,,,,,,,4429598.74,5183776.34
2012-08-10,3412496.65,2699279.56,713217.09,20.9,4,0,8,223,,,,,,,3588916.84,5111430.07
2012-08-11,2732604.35,2168668.05,563936.3,20.64,5,1,8,224,,,,,,,3067261.03,5011362.48
2012-08-12,3388181.83,2654275.25,733906.58,21.66,6,1,8,225,,,,,,,3214254.98,4947318.15
2012-08-13,3928170.01,3189564.96,738605.05,18.8,0,0,8,226,,,,,,,3256850.17,4950896.11
2012-08-14,4033912.16,3258198.58,775713.58,19.23,1,0,8,227,,,,,,,3513087.13,4953731.8
2012-08-15,3780293.26,2886923.59,893369.67,23.63,2,0,8,228,,,,,,,3679192.83,4962948.19
2012-08-16,5249978.18,4222455.97,1027522.21,19.57,3,0,8,229,,,,,,,3789376.63,4988723.15
2012-08-17,4089284.05,3238908.92,850375.13,20.8,4,0,8,230,,,,,,,3886060.55,4952227.9
2012-08-18,3450015.71,2808916.94,641098.77,18.58,5,1,8,231,,,,,,,3988547.89,4853178.86
2012-08-19,3904300.93,3006801.4,897499.53,22.99,6,1,8,232,,,,,,,4062279.19,4810939.87
2012-08-20,3541027.32,2827038.81,713988.51,20.16,0,0,8,233,,,,,,,4006973.09,4814235.55
2012-08-21,4147483.23,3364364.64,783118.59,18.88,1,0,8,234,,,,,,,4023197.53,4848566.64
2012-08-22,4597682.81,3562468.33,1035214.48,22.52,2,0,8,235,,,,,,,4139967.46,4844138.81
2012-08-23,5478869.55,4195738.04,1283131.51,23.42,3,0,8,236,,,,,,,4172666.23,4890217.92
2012-08-24,4637850.57,3632210.67,1005639.9,21.68,4,0,8,237,,,,,,,4251032.87,4869923.34
2012-08-25,3589566.28,2784342.75,805223.53,22.43,5,1,8,238,,,,,,,4270968.67,4794510.05
2012-08-26,4280204.53,3476942.48,803262.05,18.77,6,1,8,239,,,,,,,4324669.18,4765293.55
2012-08-27,3038895.84,2365260.68,673635.16,22.17,0,0,8,240,,,,,,,4252936.12,4722358.18
2012-08-28,9508676.62,7439851.59,2068825.03,21.76,1,0,8,241,,,,,,,5018820.89,4879174.08
2012-08-29,9260558.32,7336294.54,1924263.78,20.78,2,0,8,242,,,,,,,5684945.96,4968321.66
2012-08-30,10086534.1,7950911.72,2135622.38,21.17,3,0,8,243,,,,,,,6343183.75,4999485.39
2012-08-31,9104678.52,7277460.12,1827218.4,20.07,4,0,8,244,,,,,,,6981302.03,4998029.43
2012-09-01,8560208.92,6738335.17,1821873.75,21.28,5,1,9,245,,,,,,,7691393.84,4960288.83
2012-09-02,2587099.44,1946097.28,641002.16,24.78,6,1,9,246,,,,,,,7449521.68,4736616.48
2012-09-03,3865505.01,3063431.08,802073.93,20.75,0,0,9,247,,,,,,,7567608.7,4652660.15
2012-09-04,3645749.44,2876968.79,768780.65,21.09,1,0,9,248,,,,,,,6730047.68,4695544.32
2012-09-05,2398185.51,1966376.48,431809.03,18.01,2,0,9,249,,,,,,,5749708.71,4654483.72
2012-09-06,2858227.37,2147909.96,710317.41,24.85,3,0,9,250,,,,,,,4717093.46,4675082.85
2012-09-07,3282753.8,2580035.06,702718.74,21.41,4,0,9,251,,,,,,,3885389.93,4697256.19
2012-09-08,3666204.89,2804001.32,862203.57,23.52,5,1,9,252,,,,,,,3186246.49,4670173.31
2012-09-09,4458501.42,3589475.8,869025.62,19.49,6,1,9,253,,,,,,,3453589.63,4705040.13
2012-09-10,4548962.79,3517300.88,1031661.91,22.68,0,0,9,254,,,,,,,3551226.46,4765585.41
2012-09-11,4021565.55,3264364.41,757201.14,18.83,1,0,9,255,,,,,,,3604914.48,4786698.2
2012-09-12,3335978.29,2673690.65,662287.64,19.85,2,0,9,256,,,,,,,3738884.87,4766958.48
2012-09-13,2609609.29,2103806.97,505802.32,19.38,3,0,9,257,,,,,,,3703368.0,4719481.72
2012-09-14,3729228.43,2835412.27,893816.16,23.97,4,0,9,258,,,,,,,3767150.09,4717779.56
2012-09-15,3605125.64,2849539.9,755585.74,20.96,5,1,9,259,,,,,,,3758424.49,4662951.14
2012-09-16,4452012.44,3561492.95,890519.49,20.0,6,1,9,260,,,,,,,3757497.49,4675042.09
